Agdenes,4422	
Alstahaug,5205	
Alta,5236	
Alvdal,4519	
Andøy,4726	
Aremark,1876	
Arendal,24190	
Askøy,12727	
Asker,5732	
Askim,3369	
Askvoll,3052	
Audnedal,5913	
Aukra,2692	
Aure,5015	
Aurland,2465	
Aurskog-Høland,10850	
Austevoll,2555	
Austrheim,2605	
Averøy,6523	
Bærum,11347	
Bø (Telemark),15455	
Bømlo,5551	
Balestrand,2331	
Balsfjord,5406	
Bamble,6916	
Bardu,1732	
Beiarn,1997	
Berg,6990	
Bergen,95313	
Bindal,2703	
Birkenes,4233	
Bjerkreim,1803	
Bjugn,2943	
Bodø,13316	
Bokn,702	
Brønnøy,5164	
Bremanger,7751	
Bygland,2281	
Bykle,492	
Dønna,1512	
Dovre,2531	
Drammen,31175	
Drangedal,4273	
Dyrøy,1772	
Eid,3879	
Eide,2385	
Eidfjord,1082	
Eidsberg,6223	
Eidskog,6164	
Eidsvoll,11031	
Eigersund,8219	
Elverum,10752	
Enebakk,3286	
Etne,5111	
Etnedal,1927	
Evenes,4403	
Evje Og Hornnes,2586	
Færder,9117	
Førde,2742	
Farsund,10197	
Fauske,6945	
Fet,4449	
Finnøy,2495	
Fitjar,2632	
Fjaler,3889	
Fjell,3806	
Flå,2471	
Flakstad,3378	
Flatanger,1938	
Flekkefjord,6568	
Flesberg,2313	
Flora,1411	
Forsand,1904	
Fosnes,2978	
Fræna,6344	
Frøya,6379	
Fredrikstad,39223	
Frogn,4143	
Froland,2775	
Frosta,3027	
Fusa,4018	
Fyresdal,1885	
Gaular,3486	
Gausdal,5270	
Gildeskål,4575	
Giske,2816	
Gjøvik,14330	
Gjemnes,2897	
Gjerdrum,1683	
Gjerstad,1996	
Gjesdal,2227	
Gloppen,3446	
Gol,2372	
Gran,9316	
Grimstad,9995	
Grong,2857	
Grue,6483	
Gulen,5448	
Hå,5299	
Hægebostad,1920	
Høyanger,1704	
Høylandet,1150	
Hadsel,9004	
Halden,19119	
Halsa,2497	
Hamar,6315	
Hamarøy,3344	
Hammerfest,4303	
Haram,4556	
Harstad,13094	
Hasvik,1322	
Hattfjelldal,1151	
Haugesund,15175	
Hemne,5148	
Hemnes,4992	
Hemsedal,1372	
Hitra,5231	
Hjartdal,2322	
Hjelmeland,3070	
Hobøl,2350	
Hol,2189	
Hole,3548	
Holmestrand,10724	
Holtålen,5262	
Hornindal,1663	
Horten,13585	
Hurdal,1796	
Hurum,4377	
Hvaler,4348	
Hyllestad,2515	
Ibestad,5835	
Inderøy,5654	
Indre Fosen,9432	
Iveland,1137	
Jølster,4961	
Jevnaker,4213	
Jondal,3893	
Karasjok - Kárásjoga Gielda,1024	
Karlsøy,3844	
Karmøy,15032	
Kautokeino - Guovdageainnu Suohkan,1024	
Klæbu,1019	
Klepp,3058	
Kongsberg,12342	
Kongsvinger,10340	
Krødsherad,2636	
Kragerø,12011	
Kristiansand,22970	
Kristiansund,15350	
Kvæfjord,3099	
Kvænangen,1907	
Kvalsund,1101	
Kvinesdal,5478	
Kvinnherad,9735	
Kviteseid,3286	
Lærdal,1934	
Lødingen,3297	
Lørenskog,1298	
Løten,5761	
Larvik,26469	
Lavangen,1552	
Lebesby,1833	
Leikanger,2694	
Leka,1253	
Lenvik,5626	
Lesja,2477	
Levanger,10508	
Lier,9059	
Lierne,1713	
Lillehammer,9599	
Lillesand,5854	
Lindås,11053	
Lindesnes,2632	
Lom,2424	
Loppa,1458	
Lund,1705	
Lunner,4315	
Lurøy,2422	
Luster,7328	
Lyngdal,5024	
Lyngen,5426	
Målselv,4038	
Måsøy,2142	
Malvik,2925	
Mandal,8389	
Marker,3489	
Marnardal,1921	
Masfjorden,2376	
Meløy,3776	
Meldal,4409	
Melhus,5823	
Meråker,2236	
Midtre Gauldal,4943	
Modalen,836	
Modum,10920	
Molde,7882	
Moss,11779	
Nærøy,6459	
Namdalseid,1353	
Namsos,5575	
Nannestad,4172	
Narvik,11374	
Naustdal,3820	
Nedre Eiker,5931	
Nes (Akershus),18384	
Nesna,5100	
Nesodden,2786	
Nesseby - Unjárgga Gielda,1155	
Nesset,1726	
Nissedal,1802	
Nittedal,2868	
Nome,2332	
Nord-Aurdal,4738	
Nord-Fron,4349	
Nord-Odal,4520	
Norddal,2481	
Nordkapp,2469	
Nordre Land,4922	
Nordreisa,1565	
Nore Og Uvdal,2955	
Notodden,2303	
Odda,7981	
Oppdal,3876	
Orkdal,7434	
Os (Hordaland),3269	
Osen,1596	
Oslo,279129	
Osterøy,12191	
Overhalla,2517	
Porsanger - Porsánjggu Gielda - Porsangin Komuuni,2154	
Porsgrunn,20870	
Råde,2974	
Rødøy,2984	
Rømskog,534	
Røros,5576	
Røyken,4696	
Radøy,4524	
Rakkestad,5643	
Rana,7955	
Rauma,6415	
Re,5709	
Rendalen,4328	
Rennebu,5183	
Rennesøy,2174	
Rindal,2448	
Ringebu,4509	
Ringerike,16286	
Ringsaker,15598	
Risør,7305	
Roan,2023	
Rollag,1390	
Rygge,3636	
Søgne,3559	
Søndre Land,5522	
Sør-Aurdal,4203	
Sør-Fron,3026	
Sør-Odal,6668	
Sør-Varanger,3698	
Sørfold,2902	
Sørreisa,2162	
Sørum,2810	
Salangen,3113	
Saltdal,3442	
Samnanger,3144	
Sandøy,1075	
Sande (Møre Og Romsdal),15302	
Sandefjord,21167	
Sandnes,15709	
Sarpsborg,28063	
Sauda,1454	
Sauherad,3327	
Sel,3742	
Selbu,4453	
Selje,3433	
Seljord,2951	
Sigdal,3780	
Sirdal,1568	
Skaun,3626	
Skedsmo,8187	
Ski,3658	
Skien,24753	
Skiptvet,2461	
Skjåk,2314	
Skjervøy,3135	
Skodje,1573	
Smøla,3611	
Snåsa - Snåasen Tjielte,2535	
Sogndal,3704	
Sokndal,2926	
Solund,1949	
Songdalen,846	
Sortland,3919	
Spydeberg,2427	
Stange,12368	
Stavanger,41395	
Steigen,5169	
Steinkjer,17009	
Stjørdal,9237	
Stor-Elvdal,4240	
Stord,3150	
Stordal,955	
Strand,2388	
Stranda,3253	
Stryn,5722	
Suldal,5411	
Sund,2471	
Sunndal,2590	
Surnadal,5924	
Sveio,4149	
Svelvik,2566	
Sykkylven,2521	
Tønsberg,16732	
Tana - Deanu Gielda,4332	
Time,3133	
Tingvoll,4014	
Tinn,4898	
Tjeldsund,1419	
Tokke,1489	
Tolga,3816	
Torsken,1707	
Træna,646	
Trøgstad,3614	
Tranøy,1862	
Tromsø,17468	
Trondheim,58474	
Trysil,6834	
Tvedestrand,8883	
Tydal,841	
Tynset,5163	
Tysnes,4951	
Tysvær,3235	
Ullensaker,6086	
Ulstein,3848	
Ulvik,1650	
Vågå,3021	
Vågan,7725	
Vågsøy,6211	
Våler (Østfold),6266	
Værøy,1550	
Vadsø,3472	
Vaksdal,3118	
Valle,1730	
Vang,8478	
Vanylven,2997	
Vardø,4449	
Vefsn,6895	
Vegårshei,1850	
Vega,2624	
Vennesla,4249	
Verdal,6215	
Verran,1823	
Vestby,3696	
Vestnes,3969	
Vestre Slidre,2515	
Vestre Toten,5321	
Vestvågøy,17498	
Vik,6216	
Vikna,3622	
Vindafjord,5374	
Vinje,2786	
Volda,5347	
Voss,13506	
Åfjord,1403	
Ål,3498	
Ålesund,21987	
Åmli,3231	
Åmot,3842	
Årdal,2454	
Ås,3222	
Åseral,1263	
Åsnes,5451	
Øksnes,3761	
Ørland,3465	
Ørskog,1867	
Ørsta,5691	
Østre Toten,10932	
Øvre Eiker,8531	
Øyer,3077	
Øygarden,994	
Øystre Slidre,2443	
